28;11;839
11;11;171
3;5;916
8;8;714
23;1;883
30;1;150
21;6;284
23;2;246
27;10;870
30;4;680
7;4;894
14;4;209
24;6;795
26;6;530
1;4;831
20;10;706
24;11;709
15;9;65
5;12;638
19;7;630
23;11;621
18;4;581
9;7;56
3;7;266
21;3;199
10;1;388
22;9;852
5;9;696
25;10;472
24;4;566
23;2;236
7;4;905
21;9;239
17;11;875
26;10;933
15;5;55
23;6;17
5;5;701
19;11;801
2;11;283
29;9;652
6;7;415
28;1;318
22;7;309
24;4;835
19;4;335
27;12;831
9;6;942
28;11;233
13;5;555
24;1;250
8;10;884
24;4;391
11;1;573
1;5;907
26;4;934
18;10;136
6;9;380
29;2;422
13;10;408
15;10;177
3;1;732
14;9;430
6;9;206
12;8;46
27;11;565
26;5;920
3;5;636
29;3;39
6;9;370
22;12;353
29;1;245
24;2;814
12;7;740
18;12;729
22;7;946
20;7;854
7;1;185
26;6;258
31;10;86
1;4;268
23;12;698
9;10;608
7;11;846
14;11;245
29;1;287
17;9;364
21;2;53
8;4;726
11;8;109
12;6;168
23;6;941
29;10;6
19;5;688
4;2;518
29;11;733
18;8;645
29;5;657
7;4;773
19;11;147
28;1;665
13;7;906
1;9;386
9;10;125
11;3;611
26;6;169
25;6;319
20;6;745
18;8;204
3;2;457
11;3;403
28;2;96
8;5;593
25;1;466
9;4;425
15;3;864
15;3;833
21;8;364
13;4;895
17;12;592
4;9;854
26;10;22
22;3;851
9;6;940
11;3;193
31;7;890
7;3;925
4;11;769
4;3;760
23;3;865
20;8;444
21;8;865
24;3;925
18;8;949
29;12;672
10;10;779
24;1;210
18;11;737
27;5;593
25;5;1000
7;8;679
7;2;397
24;12;258
26;7;31
8;2;0
21;12;969
14;3;525
1;2;960
24;6;61
6;2;591
25;11;564
29;5;184
27;10;940
16;7;562
5;8;298
2;1;18
27;2;496
9;6;197
9;10;542
5;11;396
31;12;464
9;10;708
17;6;534
5;12;782
12;4;763
24;1;690
24;9;521
23;7;463
28;1;782
24;5;867
24;11;522
11;3;614
9;11;760
23;6;952
28;7;931
10;6;583
30;9;6
8;3;939
12;2;921
29;10;462
17;10;396
